exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Side Lying Groin Stretch,Stretching,Adductors,Intermediate,,,,,,,,,,,
IT Band and Glute Stretch,Stretching,Abductors,Intermediate,,,,,,,,,,,
Single-leg lying cross-over stretch,Stretching,Abductors,Beginner,,,,,,,,,,,
Carioca quick step,Plyometrics,Adductors,Intermediate,,,,,,,,,,,
Standing hip circle,Stretching,Abductors,Intermediate,,,,,,,,,,,
Lateral cone hop,Plyometrics,Adductors,Intermediate,,,,,,,,,,,
Side-To-Side Adductor Stretch,Strength,Adductors,Intermediate,,,,,,,,,,,
Dynamic pigeon stretch,Strength,Abductors,Intermediate,,,,,,,,,,,
Cross-over jack,Strength,Abductors,Intermediate,,,,,,,,,,,
Traveling thigh killa,Strength,Abductors,Intermediate,,,,,,,,,,,
FYR Thigh Killa,Strength,Abductors,Intermediate,,,,,,,,,,,
HM Straddle Stretch,Stretching,Abductors,Intermediate,,,,,,,,,,,
HM Right Leg Swing,Stretching,Abductors,Intermediate,,,,,,,,,,,
HM Right Side-Kick,Stretching,Abductors,Intermediate,,,,,,,,,,,
HM Frog Stretch,Strength,Abductors,Intermediate,,,,,,,,,,,
HM Kick-Out,Strength,Abductors,Intermediate,,,,,,,,,,,
HM Left Leg Swing,Strength,Adductors,Intermediate,,,,,,,,,,,
UNS Foam Roll Adductor,Strength,Adductors,Intermediate,,,,,,,,,,,
MetaBurn Groiner,Strength,Abductors,Intermediate,,,,,,,,,,,
Side-lying leg adduction scissor,Strength,Adductors,Intermediate,,,,,,,,,,,
Groin and Back Stretch,Stretching,Adductors,Beginner,,,,,,,,,,,
Adductor/Groin,Stretching,Adductors,Beginner,,,,,,,,,,,
Incline dumbbell biceps curl,Strength,Biceps,Intermediate,,,,,,,,,,,
Banded biceps curl in squat position,Strength,Biceps,Intermediate,,,,,,,,,,,
Banded Hammer Press - Gethin Variation,Strength,Biceps,Intermediate,,,,,,,,,,,
Band standing concentration curl,Strength,Biceps,Intermediate,,,,,,,,,,,
Brachialis SMR,Stretching,Biceps,Beginner,,,,,,,,,,,
Wide-grip barbell curl,Strength,Biceps,Beginner,,,,,,,,,,,
EZ-bar spider curl,Strength,Biceps,Intermediate,,,,,,,,,,,
Barbell Curl,Strength,Biceps,Intermediate,,,,,,,,,,,
Close-grip EZ-bar curl,Strength,Biceps,Beginner,,,,,,,,,,,
Preacher Curl,Strength,Biceps,Intermediate,,,,,,,,,,,
Barbell Curls Lying Against An Incline,Strength,Biceps,Beginner,,,,,,,,,,,
Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Beginner,,,,,,,,,,,
Close-grip barbell curl,Strength,Biceps,Beginner,,,,,,,,,,,
Drag curl,Strength,Biceps,Beginner,,,,,,,,,,,
Reverse-grip barbell curl,Strength,Biceps,Intermediate,,,,,,,,,,,
Lying High Bench Barbell Curl,Strength,Biceps,Beginner,,,,,,,,,,,
Seated wide-grip curl to close-grip curl,Strength,Biceps,Beginner,,,,,,,,,,,
Seated Straigh-Bar Curl Superset,Strength,Biceps,Beginner,,,,,,,,,,,
Dave Draper Forehead Curl,Strength,Biceps,Intermediate,,,,,,,,,,,
Reverse-grip EZ-bar curl,Strength,Biceps,Intermediate,,,,,,,,,,,
EZ-Bar Spider Curl - Gethin Variation,Strength,Biceps,Intermediate,,,,,,,,,,,
Barbell curl-,Strength,Biceps,Intermediate,,,,,,,,,,,
